TimeId,timestamp,year,quarter_year,month,week,day,hour,quarter_hour,dayOfWeek,isWeekend,isExtraHourDay,isExtraHour,isMissingHourDay,isMissingHour
2024010213000,2024-01-02 13:00:00,2024,1,1,1,2,13,0,2,0,0,0,0,0
2024010213150,2024-01-02 13:15:00,2024,1,1,1,2,13,15,2,0,0,0,0,0
2024010213300,2024-01-02 13:30:00,2024,1,1,1,2,13,30,2,0,0,0,0,0
2024010213450,2024-01-02 13:45:00,2024,1,1,1,2,13,45,2,0,0,0,0,0
2024010214000,2024-01-02 14:00:00,2024,1,1,1,2,14,0,2,0,0,0,0,0
2024010214150,2024-01-02 14:15:00,2024,1,1,1,2,14,15,2,0,0,0,0,0
2024010214300,2024-01-02 14:30:00,2024,1,1,1,2,14,30,2,0,0,0,0,0
2024010214450,2024-01-02 14:45:00,2024,1,1,1,2,14,45,2,0,0,0,0,0
2024010215000,2024-01-02 15:00:00,2024,1,1,1,2,15,0,2,0,0,0,0,0
2024010215150,2024-01-02 15:15:00,2024,1,1,1,2,15,15,2,0,0,0,0,0
2024010215300,2024-01-02 15:30:00,2024,1,1,1,2,15,30,2,0,0,0,0,0
2024010215450,2024-01-02 15:45:00,2024,1,1,1,2,15,45,2,0,0,0,0,0
2024010216000,2024-01-02 16:00:00,2024,1,1,1,2,16,0,2,0,0,0,0,0
2024010216150,2024-01-02 16:15:00,2024,1,1,1,2,16,15,2,0,0,0,0,0
2024010216300,2024-01-02 16:30:00,2024,1,1,1,2,16,30,2,0,0,0,0,0
2024010216450,2024-01-02 16:45:00,2024,1,1,1,2,16,45,2,0,0,0,0,0
2024010217000,2024-01-02 17:00:00,2024,1,1,1,2,17,0,2,0,0,0,0,0
2024010217150,2024-01-02 17:15:00,2024,1,1,1,2,17,15,2,0,0,0,0,0
2024010217300,2024-01-02 17:30:00,2024,1,1,1,2,17,30,2,0,0,0,0,0
2024010217450,2024-01-02 17:45:00,2024,1,1,1,2,17,45,2,0,0,0,0,0
2024010218000,2024-01-02 18:00:00,2024,1,1,1,2,18,0,2,0,0,0,0,0
2024010218150,2024-01-02 18:15:00,2024,1,1,1,2,18,15,2,0,0,0,0,0
2024010218300,2024-01-02 18:30:00,2024,1,1,1,2,18,30,2,0,0,0,0,0
2024010218450,2024-01-02 18:45:00,2024,1,1,1,2,18,45,2,0,0,0,0,0
2024010219000,2024-01-02 19:00:00,2024,1,1,1,2,19,0,2,0,0,0,0,0
2024010219150,2024-01-02 19:15:00,2024,1,1,1,2,19,15,2,0,0,0,0,0
2024010219300,2024-01-02 19:30:00,2024,1,1,1,2,19,30,2,0,0,0,0,0
2024010219450,2024-01-02 19:45:00,2024,1,1,1,2,19,45,2,0,0,0,0,0
2024010220000,2024-01-02 20:00:00,2024,1,1,1,2,20,0,2,0,0,0,0,0
2024010220150,2024-01-02 20:15:00,2024,1,1,1,2,20,15,2,0,0,0,0,0
2024010220300,2024-01-02 20:30:00,2024,1,1,1,2,20,30,2,0,0,0,0,0
2024010220450,2024-01-02 20:45:00,2024,1,1,1,2,20,45,2,0,0,0,0,0
2024010221000,2024-01-02 21:00:00,2024,1,1,1,2,21,0,2,0,0,0,0,0
2024010221150,2024-01-02 21:15:00,2024,1,1,1,2,21,15,2,0,0,0,0,0
2024010221300,2024-01-02 21:30:00,2024,1,1,1,2,21,30,2,0,0,0,0,0
2024010221450,2024-01-02 21:45:00,2024,1,1,1,2,21,45,2,0,0,0,0,0
2024010222000,2024-01-02 22:00:00,2024,1,1,1,2,22,0,2,0,0,0,0,0
2024010222150,2024-01-02 22:15:00,2024,1,1,1,2,22,15,2,0,0,0,0,0
2024010222300,2024-01-02 22:30:00,2024,1,1,1,2,22,30,2,0,0,0,0,0
2024010222450,2024-01-02 22:45:00,2024,1,1,1,2,22,45,2,0,0,0,0,0
2024010223000,2024-01-02 23:00:00,2024,1,1,1,2,23,0,2,0,0,0,0,0
2024010223150,2024-01-02 23:15:00,2024,1,1,1,2,23,15,2,0,0,0,0,0
2024010223300,2024-01-02 23:30:00,2024,1,1,1,2,23,30,2,0,0,0,0,0
2024010223450,2024-01-02 23:45:00,2024,1,1,1,2,23,45,2,0,0,0,0,0
2024010300000,2024-01-03 00:00:00,2024,1,1,1,3,0,0,3,0,0,0,0,0
2024010300150,2024-01-03 00:15:00,2024,1,1,1,3,0,15,3,0,0,0,0,0
2024010300300,2024-01-03 00:30:00,2024,1,1,1,3,0,30,3,0,0,0,0,0
2024010300450,2024-01-03 00:45:00,2024,1,1,1,3,0,45,3,0,0,0,0,0
2024010301000,2024-01-03 01:00:00,2024,1,1,1,3,1,0,3,0,0,0,0,0
2024010301150,2024-01-03 01:15:00,2024,1,1,1,3,1,15,3,0,0,0,0,0
2024010301300,2024-01-03 01:30:00,2024,1,1,1,3,1,30,3,0,0,0,0,0
2024010301450,2024-01-03 01:45:00,2024,1,1,1,3,1,45,3,0,0,0,0,0
2024010302000,2024-01-03 02:00:00,2024,1,1,1,3,2,0,3,0,0,0,0,0
2024010302150,2024-01-03 02:15:00,2024,1,1,1,3,2,15,3,0,0,0,0,0
2024010302300,2024-01-03 02:30:00,2024,1,1,1,3,2,30,3,0,0,0,0,0
2024010302450,2024-01-03 02:45:00,2024,1,1,1,3,2,45,3,0,0,0,0,0
2024010303000,2024-01-03 03:00:00,2024,1,1,1,3,3,0,3,0,0,0,0,0
2024010303150,2024-01-03 03:15:00,2024,1,1,1,3,3,15,3,0,0,0,0,0
2024010303300,2024-01-03 03:30:00,2024,1,1,1,3,3,30,3,0,0,0,0,0
2024010303450,2024-01-03 03:45:00,2024,1,1,1,3,3,45,3,0,0,0,0,0
2024010304000,2024-01-03 04:00:00,2024,1,1,1,3,4,0,3,0,0,0,0,0
2024010304150,2024-01-03 04:15:00,2024,1,1,1,3,4,15,3,0,0,0,0,0
2024010304300,2024-01-03 04:30:00,2024,1,1,1,3,4,30,3,0,0,0,0,0
2024010304450,2024-01-03 04:45:00,2024,1,1,1,3,4,45,3,0,0,0,0,0
2024010305000,2024-01-03 05:00:00,2024,1,1,1,3,5,0,3,0,0,0,0,0
2024010305150,2024-01-03 05:15:00,2024,1,1,1,3,5,15,3,0,0,0,0,0
2024010305300,2024-01-03 05:30:00,2024,1,1,1,3,5,30,3,0,0,0,0,0
